,station id,station name,station latitude,station longitude
287,465.0,Broadway & W 41 St,40.75513557,-73.98658032
291,308.0,St James Pl & Oliver St,40.71307916,-73.99851193
293,2006.0,Central Park S & 6 Ave,40.76590936,-73.97634151
295,491.0,E 24 St & Park Ave S,40.74096374,-73.98602213
297,3285.0,W 87 St & Amsterdam Ave,40.78839,-73.9747
299,3148.0,E 84 St & 1 Ave,40.77565541,-73.95068615
304,3314.0,W 95 St & Broadway,40.7937704,-73.971888
308,319.0,Fulton St & Broadway,40.711066,-74.009447
310,3689.0,W 104 St & Amsterdam Ave,40.79904139288298,-73.96649479866028
312,422.0,W 59 St & 10 Ave,40.770513,-73.988038
315,361.0,Allen St & Hester St,40.71605866,-73.99190759
316,3518.0,Lenox Ave & W 126 St,40.808442,-73.9452087
319,519.0,Pershing Square North,40.751873,-73.977706
321,3504.0,E 123 St & Lexington Ave,40.8029263,-73.9379
324,3152.0,3 Ave & E 71 St,40.76873687,-73.96119945
325,3788.0,E 12 St & 4 Av,40.73269,-73.98974
328,293.0,Lafayette St & E 8 St,40.73020660529954,-73.99102628231049
331,529.0,W 42 St & 8 Ave,40.7575699,-73.99098507
335,3141.0,1 Ave & E 68 St,40.76500525,-73.95818491
336,3233.0,E 48 St & 5 Ave,40.75724567911726,-73.97805914282799
337,3357.0,W 106 St & Amsterdam Ave,40.8008363,-73.9664492472
339,296.0,Division St & Bowery,40.71413089,-73.9970468
347,3131.0,E 68 St & 3 Ave,40.76712840349542,-73.96224617958069
353,237.0,E 11 St & 2 Ave,40.73047309,-73.98672378
361,379.0,W 31 St & 7 Ave,40.749156,-73.9916
362,447.0,8 Ave & W 52 St,40.76370739,-73.9851615
364,369.0,Washington Pl & 6 Ave,40.73224119,-74.00026394
366,3749.0,Lexington Ave & E 36 St,40.7475739589548,-73.9788007736206
373,3002.0,South End Ave & Liberty St,40.711512,-74.015756
374,228.0,E 48 St & 3 Ave,40.7546011026,-73.971878855
375,3338.0,2 Ave & E 99 St,40.7862586,-73.94552579
376,427.0,Bus Slip & State St,40.701907,-74.013942
378,3150.0,E 85 St & York Ave,40.77536905,-73.94803392
381,411.0,E 6 St & Avenue D,40.72228087,-73.97668709
382,168.0,W 18 St & 6 Ave,40.73971301,-73.99456405
383,445.0,E 10 St & Avenue A,40.72740794,-73.98142006
384,3178.0,Riverside Dr & W 78 St,40.78414472,-73.98362492
388,3725.0,2 Ave & E 72 St,40.7687620293096,-73.95840793848038
389,3467.0,W Broadway & Spring Street,40.72494672359416,-74.00165855884552
390,3256.0,Pier 40 - Hudson River Park,40.7277140777778,-74.01129573583603
391,497.0,E 17 St & Broadway,40.73704984,-73.99009296
408,3177.0,W 84 St & Broadway,40.7867947,-73.977112
409,285.0,Broadway & E 14 St,40.73454567,-73.99074142
411,347.0,Greenwich St & W Houston St,40.728846,-74.008591
414,3492.0,E 118 St & Park Ave,40.8005385,-73.9419949
